AttachmentDescription
identifier,name,shortDescription,longDescription,languageId,delete
HeaderStoreLogo,Store Logo,MattelSAS,,-1,0
EmailBanner,Email Banner,Email Banner,,-1,0
EmailBottom_Content,Wiadomość e-mail z logo promocji sklepu,Wiadomość e-mail z logo promocji sklepu,,-22,0
EmailBottom_Content,Emblemă promoţie magazin prin e-mail,Emblemă promoţie magazin prin e-mail,,-21,0
EmailBottom_Content,Хранилище электронной почты - логотип специального предложения,Хранилище электронной почты - логотип специального предложения,,-20,0
EmailBottom_Content,E メール・ストア販売促進ロゴ,E メール・ストア販売促進ロゴ,,-10,0
EmailBottom_Content,이메일 상점 특별 판매 로고,이메일 상점 특별 판매 로고,,-9,0
EmailBottom_Content,用電子郵件傳送商店推廣標誌,用電子郵件傳送商店推廣標誌,,-8,0
EmailBottom_Content,电子邮件商店促销徽标,电子邮件商店促销徽标,,-7,0
EmailBottom_Content,Logotipo de Promoção do Armazenamento de Emails,Logotipo de Promoção do Armazenamento de Emails,,-6,0
EmailBottom_Content,Enviar por correo electrónico el logotipo de promoción de la tienda,Enviar por correo electrónico el logotipo de promoción de la tienda,,-5,0
EmailBottom_Content,E-mail Logo promozione negozio,E-mail Logo promozione negozio,,-4,0
EmailBottom_Content,Logo für Rabatt des E-Mail-Geschäfts,Logo für Rabatt des E-Mail-Geschäfts,,-3,0
EmailBottom_Content,Envoi par courrier électronique du logo des promotions du magasin,Envoi par courrier électronique du logo des promotions du magasin,,-2,0
EmailBottom_Content,Email Store Promotion Logo,Email Store Promotion Logo,,-1,0
WomenLandingPage_Atct_brand1,marka1,Wyświetl markę,,-22,0
WomenLandingPage_Atct_brand1,Brand1,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand1,Brand1,Показать бренд,,-20,0
WomenLandingPage_Atct_brand1,Brand1,ブランドの表示,,-10,0
WomenLandingPage_Atct_brand1,브랜드1,브랜드 표시,,-9,0
WomenLandingPage_Atct_brand1,Brand1,顯示品牌,,-8,0
WomenLandingPage_Atct_brand1,Brand1,显示品牌,,-7,0
WomenLandingPage_Atct_brand1,Brand1,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand1,Marca1,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand1,Marchio1,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand1,Brand1,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand1,Marque1,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand1,Brand1,Display a brand,,-1,0
WomenLandingPage_Atct_brand2,marka2,Wyświetl markę,,-22,0
WomenLandingPage_Atct_brand2,brand2,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand2,brand2,Показать бренд,,-20,0
WomenLandingPage_Atct_brand2,brand2,ブランドの表示,,-10,0
WomenLandingPage_Atct_brand2,브랜드2,브랜드 표시,,-9,0
WomenLandingPage_Atct_brand2,brand2,顯示品牌,,-8,0
WomenLandingPage_Atct_brand2,brand2,显示品牌,,-7,0
WomenLandingPage_Atct_brand2,brand2,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand2,marca2,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand2,marchio2,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand2,brand2,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand2,marque2,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand2,brand2,Display a brand,,-1,0
WomenLandingPage_Atct_brand3,marka3,Wyświetl markę,,-22,0
WomenLandingPage_Atct_brand3,brand3,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand3,brand3,Показать бренд,,-20,0
WomenLandingPage_Atct_brand3,brand3,ブランドの表示,,-10,0
WomenLandingPage_Atct_brand3,브랜드3,브랜드 표시,,-9,0
WomenLandingPage_Atct_brand3,brand3,顯示品牌,,-8,0
WomenLandingPage_Atct_brand3,brand3,显示品牌,,-7,0
WomenLandingPage_Atct_brand3,brand3,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand3,marca3,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand3,marchio3,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand3,brand3,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand3,marque3,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand3,brand3,Display a brand,,-1,0
WomenLandingPage_Atct_brand4,marka4,Wyświetl markę,,-22,0
WomenLandingPage_Atct_brand4,brand4,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand4,brand4,Показать бренд,,-20,0
WomenLandingPage_Atct_brand4,brand4,ブランドの表示,,-10,0
WomenLandingPage_Atct_brand4,브랜드4,브랜드 표시,,-9,0
WomenLandingPage_Atct_brand4,brand4,顯示品牌,,-8,0
WomenLandingPage_Atct_brand4,brand4,显示品牌,,-7,0
WomenLandingPage_Atct_brand4,brand4,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand4,marca4,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand4,marchio4,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand4,brand4,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand4,marque4,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand4,brand4,Display a brand,,-1,0
WomenLandingPage_Atct_brand5,marka5,Wyświetl markę,,-22,0
WomenLandingPage_Atct_brand5,brand5,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand5,brand5,Показать бренд,,-20,0
WomenLandingPage_Atct_brand5,brand5,ブランドの表示,,-10,0
WomenLandingPage_Atct_brand5,브랜드5,브랜드 표시,,-9,0
WomenLandingPage_Atct_brand5,brand5,顯示品牌,,-8,0
WomenLandingPage_Atct_brand5,brand5,显示品牌,,-7,0
WomenLandingPage_Atct_brand5,brand5,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand5,marca5,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand5,marchio5,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand5,brand5,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand5,marque5,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand5,brand5,Display a brand,,-1,0
HeaderESpot15OffPurchaseAd,15% rabatu od wartości zakupów,15% rabatu od całej wartości zakupów,,-22,0
HeaderESpot15OffPurchaseAd,15% reducere la cumpărătură,Economisiţi 15% pentru întreaga cumpărătură,,-21,0
HeaderESpot15OffPurchaseAd,Скидка 15%,Сэкономьте 15% от суммы покупки,,-20,0
HeaderESpot15OffPurchaseAd,購入額の 15% 割引,総購入額の 15% 割引,,-10,0
HeaderESpot15OffPurchaseAd,15% 할인 구매,전체 15% 할인 구매,,-9,0
HeaderESpot15OffPurchaseAd,購物打八五折,全面可享 15% 折扣,,-8,0
HeaderESpot15OffPurchaseAd,15% 购物折扣,购物总额享 15% 折扣,,-7,0
HeaderESpot15OffPurchaseAd,15% de Desconto,Ganhe 15% de Desconto na Compra Inteira,,-6,0
HeaderESpot15OffPurchaseAd,15% de descuento de su compra,Ahórrese un 15% en toda su compra,,-5,0
HeaderESpot15OffPurchaseAd,15% di sconto sugli acquisti,Risparmio del 15% sull'intero acquisto,,-4,0
HeaderESpot15OffPurchaseAd,15% auf gesamten Einkauf,Sparen Sie 15% auf Ihren gesamten Einkauf,,-3,0
HeaderESpot15OffPurchaseAd,15% de remise sur les achats,Economisez 15 % sur la totalité de vos achats,,-2,0
HeaderESpot15OffPurchaseAd,15% Off Purchase,Save 15% Off Your Entire Purchase,,-1,0
HeaderESpotFreeShippingSpecial,Bezpłatna dostawa,Bezpłatna dostawa przy zamówieniach za ponad 300 zł,,-22,0
HeaderESpotFreeShippingSpecial,Livrare gratuită,Livrare gratuită la comenzi peste $100,,-21,0
HeaderESpotFreeShippingSpecial,Бесплатная доставка,При покупке товаров на сумму больше 100 долларов доставка бесплатно,,-20,0
HeaderESpotFreeShippingSpecial,配送料無料,"10,000 円以上購入の場合、配送料無料",,-10,0
HeaderESpotFreeShippingSpecial,무료 배송,$100 이상 주문 시 무료 배송,,-9,0
HeaderESpotFreeShippingSpecial,不收運費,購買一百美元以上免運費,,-8,0
HeaderESpotFreeShippingSpecial,免费送货,订单超过 100 美元免运费,,-7,0
HeaderESpotFreeShippingSpecial,Entrega Grátis,Frete Grátis nas ordens acima de $100,,-6,0
HeaderESpotFreeShippingSpecial,Envío gratis,Gastos de envío gratis para pedidos de más de $100,,-5,0
HeaderESpotFreeShippingSpecial,Spedizione gratuita,Spedizione gratuita per gli ordini di importo superiore a $100,,-4,0
HeaderESpotFreeShippingSpecial,Kostenloser Versand,Kostenloser Versand bei einem Bestellwert über 100 €,,-3,0
HeaderESpotFreeShippingSpecial,Livraison gratuite,Livraison gratuite pour toute commande d'un montant supérieur à 100 euros.,,-2,0
HeaderESpotFreeShippingSpecial,Free Shipping,Free Shipping On orders over $100,,-1,0
BoysPants_Atct_1,Wygodne swetry,"Wygodne swetry - kup jeden, a dostaniesz 25% zniżki na drugi ",,-22,0
BoysPants_Atct_1,Pulovere confortabile,"Pulovere confortabile Cumperi unu, îl primeşti pe al doilea la 25% reducere ",,-21,0
BoysPants_Atct_1,Уютные свитеры,Уютные свитеры: при покупке одной вещи вы получаете 25 % скидки на вторую ,,-20,0
BoysPants_Atct_1,暖かいセーター,暖かいセーター 1 枚購入すれば、2 枚目が 25% 割引 ,,-10,0
BoysPants_Atct_1,포근한 스웨터,포근한 스웨터 1개 구매 시 2개째 25% 할인 적용 ,,-9,0
BoysPants_Atct_1,保暖毛衣,保暖毛衣 第二件七五折,,-8,0
BoysPants_Atct_1,舒适毛衣,购买 1 件舒适毛衣后，第 2 件享受 25% 的折扣,,-7,0
BoysPants_Atct_1,Suéteres Confortáveis,Suéteres Confortáveis Compre um e ganhe 25% de desconto no segundo ,,-6,0
BoysPants_Atct_1,Jerséis cómodos,Jerséis cómodos; compre 1 y obtenga un 25% de descuento en el segundo,,-5,0
BoysPants_Atct_1,Maglioni comodi,"Maglioni comodi. Acquistando un articolo, il 25% di sconto sul secondo ",,-4,0
BoysPants_Atct_1,Wohlfühlpullover,Einen Wohlfühlpullover kaufen und beim zweiten 25% sparen ,,-3,0
BoysPants_Atct_1,Pulls tout doux,"Pulls tout doux, pour l'achat d'un pull, moins 25 % sur le deuxième ",,-2,0
BoysPants_Atct_1,Cozy Sweaters,"Cozy Sweaters Buy 1, get 25% off a second ",,-1,0
BoysPants_Atct_2,Spodnie dżinsowe,Chłopięce spodnie dżinsowe - 35% zniżki na wszystkie fasony,,-22,0
BoysPants_Atct_2,Blugi,Blugi' băieţi 35% reducere pentru toate stilurile,,-21,0
BoysPants_Atct_2,Джинсы,Джинсы для мальчиков - скидка 35% на все стили,,-20,0
BoysPants_Atct_2,ジーンズ,男の子用ジーンズ 全種類 35% 割引,,-10,0
BoysPants_Atct_2,청바지,남아용 진 모든 스타일 35% 할인,,-9,0
BoysPants_Atct_2,牛仔褲 ,男童牛仔褲 全面六五折,,-8,0
BoysPants_Atct_2,牛仔裤,男孩牛仔裤所有款式 35% 折扣,,-7,0
BoysPants_Atct_2,Confortáveis,Jeans para Meninos 35% de desconto em todos os estilos,,-6,0
BoysPants_Atct_2,Tejanos,Tejanos para niño; 35% de descuento para todos los estilos,,-5,0
BoysPants_Atct_2,Jeans,Jeans per ragazzi. 35% di sconto su tutti i modelli,,-4,0
BoysPants_Atct_2,Jeans,Jeans für Jungen - 35% auf alle Styles,,-3,0
BoysPants_Atct_2,Jeans,"Jeans pour garçon, moins 35 % sur tous les styles",,-2,0
BoysPants_Atct_2,Jeans,Boys' Jeans 35% off all styles,,-1,0
BoysShoes_Atct_1,Koszulki,Wyprzedaż koszulek - 25% zniżki na koszulki chłopięce,,-22,0
BoysShoes_Atct_1,Bluze,Cumpărături de toă 25% reducere tricouro' băieţi,,-21,0
BoysShoes_Atct_1,Футболки,Распродажа футболок: скидка 25 % на футболки для мальчиков,,-20,0
BoysShoes_Atct_1,トップス,トップスのバーゲン 男の子向けトップスが 25% 割引,,-10,0
BoysShoes_Atct_1,상의,남아용 상의 25% 할인,,-9,0
BoysShoes_Atct_1,上衣,上衣特惠價 男童上衣七五折,,-8,0
BoysShoes_Atct_1,上装,上装优惠 - 男孩上装 25% 折扣,,-7,0
BoysShoes_Atct_1,Blusas,Ofertas em Tops 25% de desconto em tops para meninos,,-6,0
BoysShoes_Atct_1,Partes de arriba,Principales ofertas en camisetas/polos/bodies para niños con un 25% de descuento,,-5,0
BoysShoes_Atct_1,Maglie,Offerta maglie. 25% di sconto sulle maglie per ragazzi,,-4,0
BoysShoes_Atct_1,Oberteile,Topangebote - 25 % auf Jungen-Oberteile,,-3,0
BoysShoes_Atct_1,Hauts,"Promo sur les hauts, économisez 25 % sur les hauts pour garçon",,-2,0
BoysShoes_Atct_1,Tops,Top Deals 25% off boys' tops,,-1,0
BoysShoes_Atct_2,Wyprzedaż obuwia,"Wyprzedaż obuwia chłopięcego - kup dwie pary, a trzecią dostaniesz za darmo",,-22,0
BoysShoes_Atct_2,Reduceri pantofi,"Reducere' Încălţăminte băieţi Cumperi 2, îl primeşti pe al 3-lea pe gratis",,-21,0
BoysShoes_Atct_2,Распродажа обуви,Распродажа туфель для мальчиков: при покупке двух пар получаете третью в подарок,,-20,0
BoysShoes_Atct_2,靴の特売,男の子用靴の特売 2 足購入すれば、3 足目が無料,,-10,0
BoysShoes_Atct_2,신발 판매,남아용 신발 두 켤레 구매 시 한 켤레 무료 증정,,-9,0
BoysShoes_Atct_2,鞋子特賣,男童鞋特賣 買兩雙再送一雙,,-8,0
BoysShoes_Atct_2,鞋子促销,男孩鞋子促销 - 购买 2 双，第 3 双免费,,-7,0
BoysShoes_Atct_2,Venda de Sapatos,"Venda de Sapatos para Meninos Compre 2 pares, ganhe o terceiro grátis",,-6,0
BoysShoes_Atct_2,Venta de calzado,Venta de calzado para niños; compre 2 pares y llévese el tercero gratis,,-5,0
BoysShoes_Atct_2,Offerta scarpe,"Offerta scarpe per ragazzi. Acquistando 2 paia di scarpe, il terzo è in omaggio",,-4,0
BoysShoes_Atct_2,Schuhe - Angebote ,"Angebote für Jungenschuhe - 3 Paar kaufen, 2 Paar bezahlen",,-3,0
BoysShoes_Atct_2,Soldes sur les chaussures,"Soldes sur les chaussures pour garçon, pour 2 paires achetées, la troisième gratuite",,-2,0
BoysShoes_Atct_2,Shoe Sale,"Boys' Shoe Sale Buy 2, get the 3rd for free",,-1,0
BoysTops_Atct_1,Wygodne swetry,"Wygodne swetry - kup jeden, a dostaniesz 25% zniżki na drugi ",,-22,0
BoysTops_Atct_1,Pulovere confortabile,"Pulovere comode Cumperi unu, îl primeşti pe al doilea la 25% reducere ",,-21,0
BoysTops_Atct_1,Уютные свитеры,Уютные свитеры: при покупке одной вещи вы получаете 25 % скидки на вторую ,,-20,0
BoysTops_Atct_1,暖かいセーター,暖かいセーター 1 枚購入すれば、2 枚目が 25% 割引 ,,-10,0
BoysTops_Atct_1,포근한 스웨터,포근한 스웨터 1개 구매 시 2개째 25% 할인 적용 ,,-9,0
BoysTops_Atct_1,保暖毛衣,保暖毛衣 第二件七五折,,-8,0
BoysTops_Atct_1,舒适毛衣,购买 1 件舒适毛衣后，第 2 件享受 25% 的折扣,,-7,0
BoysTops_Atct_1,Suéteres Confortáveis,Suéteres Confortáveis Compre um e ganhe 25% de desconto no segundo ,,-6,0
BoysTops_Atct_1,Jerséis cómodos,Jerséis cómodos; compre 1 y obtenga un 25% de descuento en el segundo,,-5,0
BoysTops_Atct_1,Maglioni comodi,"Maglioni comodi. Acquistando un articolo, il 25% di sconto sul secondo ",,-4,0
BoysTops_Atct_1,Wohlfühlpullover,Einen Wohlfühlpullover kaufen und beim zweiten 25% sparen ,,-3,0
BoysTops_Atct_1,Pulls tout doux,"Pulls tout doux, pour l'achat d'un pull, moins 25 % sur le deuxième ",,-2,0
BoysTops_Atct_1,Cozy Sweaters,"Cozy Sweaters Buy 1, get 25% off a second ",,-1,0
BoysTops_Atct_2,Spodnie dżinsowe,Chłopięce spodnie dżinsowe - 35% zniżki na wszystkie fasony,,-22,0
BoysTops_Atct_2,Blugi,Jeanşi ' băieţi 35% reducere toate stilurile,,-21,0
BoysTops_Atct_2,Джинсы,Джинсы для мальчиков - скидка 35% на все стили,,-20,0
BoysTops_Atct_2,ジーンズ,男の子用ジーンズ 全種類 35% 割引,,-10,0
BoysTops_Atct_2,청바지,남아용 진 모든 스타일 35% 할인,,-9,0
BoysTops_Atct_2,牛仔褲 ,男童牛仔褲 全面六五折,,-8,0
BoysTops_Atct_2,牛仔裤,男孩牛仔裤所有款式 35% 折扣,,-7,0
BoysTops_Atct_2,Confortáveis,Jeans para Meninos 35% de desconto em todos os estilos,,-6,0
BoysTops_Atct_2,Tejanos,Tejanos para niño; 35% de descuento para todos los estilos,,-5,0
BoysTops_Atct_2,Jeans,Jeans per ragazzi. 35% di sconto su tutti i modelli,,-4,0
BoysTops_Atct_2,Jeans,Jeans für Jungen - 35% auf alle Styles,,-3,0
BoysTops_Atct_2,Jeans,"Jeans pour garçon, moins 35 % sur tous les styles",,-2,0
BoysTops_Atct_2,Jeans,Boys' Jeans 35% off all styles,,-1,0
BoysRow1_Content,Wyprzedaż odzieży chłopięcej,Wyprzedaż modnych koszulek - 30% zniżki na koszulki chłopięce,,-22,0
BoysRow1_Content,Reducere băieţi,Tricouri cool la reducere Salvează 30% la tricouri' băieţi,,-21,0
BoysRow1_Content,Распродажа одежды для мальчиков,Распродажа классных футболок: сэкономьте 30 % на футболках для мальчиков,,-20,0
BoysRow1_Content,男の子向け特売,かっこいいトップスの特売 男の子向けトップスが 30% 割引,,-10,0
BoysRow1_Content,남아용 의류 할인,남아용 여름 상의 30% 할인,,-9,0
BoysRow1_Content,男童裝特賣,酷炫上衣 男童上衣七折,,-8,0
BoysRow1_Content,男孩服饰促销,帅气上装促销 - 男孩上装 30% 折扣,,-7,0
BoysRow1_Content,Venda para Meninos,Modernos Tops em Venda Economize 30% em tops para meninos,,-6,0
BoysRow1_Content,Venta para niños,Camisetas/Polos/Bodies modernos; ahorre un 30% en camisetas/Polos/bodies para niños,,-5,0
BoysRow1_Content,Vendita articoli per ragazzi,Maglie in vendita. Risparmia il 30% sulle maglie per ragazzi,,-4,0
BoysRow1_Content,Angebote - Jungen,Angebot für coole Oberkleidung - Sparen Sie 30% bei Jungen-Oberteilen,,-3,0
BoysRow1_Content,Soldes pour garçon,"Super tops en solde, économisez 30 % sur les hauts pour garçon",,-2,0
BoysRow1_Content,Boys Sale,Cool Tops on Sale Save 30% on boys' tops,,-1,0
GirlsDS_Atct_1,Wyprzedaż sukienek,Trwa wyprzedaż sukienek - 30% zniżki na sukienki dziewczęce,,-22,0
GirlsDS_Atct_1,Reducere rochii,Rochii la reducere 30% la rochii' fete,,-21,0
GirlsDS_Atct_1,Распродажа платьев,Распродажа платьев: 30 % скидка на платья для девочек,,-20,0
GirlsDS_Atct_1,ドレスの特売,ドレスの特売 女の子用ドレスが 30% 割引,,-10,0
GirlsDS_Atct_1,드레스 판매,모든 여아용 드레스 30% 할인 판매,,-9,0
GirlsDS_Atct_1,洋裝特賣,洋裝特賣 女童洋裝七折,,-8,0
GirlsDS_Atct_1,礼服促销,礼服促销正在进行 - 女孩礼服 30% 折扣,,-7,0
GirlsDS_Atct_1,Venda de Vestidos,Vestidos em Liquidação 30% de desconto em vestidos infantis,,-6,0
GirlsDS_Atct_1,Venta de vestidos,Venta de vestidos; 30% de descuento en vestidos de niña,,-5,0
GirlsDS_Atct_1,Offerta abiti,Abiti in offerta. 30% di sconto su abiti per ragazze,,-4,0
GirlsDS_Atct_1,Kleider - Angebote,30% Rabatt auf Mädchenkleider,,-3,0
GirlsDS_Atct_1,Robes en solde,"Robes en solde, moins 30 % sur les robes pour filles",,-2,0
GirlsDS_Atct_1,Dress Sale,Dresses on Sale 30% off girls' dresses,,-1,0
GirlsDS_Atct_2,Wyprzedaż obuwia,"Wyprzedaż obuwia dziewczęcego - kup dwie pary, a trzecią dostaniesz za darmo",,-22,0
GirlsDS_Atct_2,Reduceri pantofi,"Reduceri' pantofi fete Cumperi 2, o primeşti pe a 3-a pe gratis",,-21,0
GirlsDS_Atct_2,Распродажа обуви,Распродажа туфель для девочек: при покупке двух пар получаете третью в подарок,,-20,0
GirlsDS_Atct_2,靴の特売,女の子用靴の特売 2 足購入すれば、3 足目が無料,,-10,0
GirlsDS_Atct_2,신발 판매,여아용 신발 두 켤레 구매 시 한 켤레 무료,,-9,0
GirlsDS_Atct_2,鞋子特賣,女童鞋特賣 買兩雙再送一雙,,-8,0
GirlsDS_Atct_2,鞋子促销,女鞋促销 - 购买 2 双，第 3 双免费,,-7,0
GirlsDS_Atct_2,Venda de Sapatos,"Venda de Sapatos para Meninas Compre 2 pares, ganhe o terceiro grátis",,-6,0
GirlsDS_Atct_2,Venta de calzado,Venta de calzado para niña: compre 2 pares y llévese el tercero gratis,,-5,0
GirlsDS_Atct_2,Offerta scarpe,"Offerta scarpe per ragazze. Acquistando 2 paia di scarpe, il terzo è in omaggio",,-4,0
GirlsDS_Atct_2,Schuhe - Angebote,"Angebote für Mädchenschuhe - 3 Paar kaufen, 2 Paar bezahlen",,-3,0
GirlsDS_Atct_2,Soldes sur les chaussures,"Soldes sur les chaussures pour fille, pour 2 paires achetées, la troisième gratuite",,-2,0
GirlsDS_Atct_2,Shoe Sale,"Girls' Shoe Sale Buy 2, get the 3rd for free",,-1,0
GirlsPants_Atct_1,Dżins,Wyprzedaż dżinsów - 35% zniżki na dżinsy dziewczęce,,-22,0
GirlsPants_Atct_1,Denim,Reduceri denim 35% reducre blugi' fete,,-21,0
GirlsPants_Atct_1,Джинсовая ткань,Акция по одежде из джинсовой ткани: скидка 35 % на джинсы для девочек,,-20,0
GirlsPants_Atct_1,デニム,デニムのバーゲン 女の子用ジーンズが 35% 割引,,-10,0
GirlsPants_Atct_1,데님,여아용 데님 진 35% 할인 판매,,-9,0
GirlsPants_Atct_1,丹寧布,丹寧褲特賣 女童牛仔褲六五折,,-8,0
GirlsPants_Atct_1,牛仔色,牛仔服促销 - 女孩牛仔裤 35% 折扣,,-7,0
GirlsPants_Atct_1,Denim,Ofertas em Denim 35% de desconto em jeans para meninas,,-6,0
GirlsPants_Atct_1,Denim,"Ofertas de vaqueros, 35% de descuento en vaqueros para chica",,-5,0
GirlsPants_Atct_1,Denim,Offerta denim. 35% di sconto su jeans per ragazze,,-4,0
GirlsPants_Atct_1,Denim,Denim-Angebot - 35% auf Jeans für Mädchen,,-3,0
GirlsPants_Atct_1,Denim,"Promo sur le denim, moins 35 % sur les jeans pour fille",,-2,0
GirlsPants_Atct_1,Denim,Denim Deals 35% off girls' jeans,,-1,0
GirlsPants_Atct_2,Letnia wyprzedaż,Letnia wyprzedaż - zaoszczędź 50% na letnich sukienkach i spódniczkach dla dziewczynek,,-22,0
GirlsPants_Atct_2,Reducere de vară,Reducere de vară - Economisiţi 50% la fustele şi rochiile de seară,,-21,0
GirlsPants_Atct_2,Летняя распродажа,Летняя распродажа: сэкономьте 50 % на летних юбках и платьях для девочек,,-20,0
GirlsPants_Atct_2,夏の在庫一掃,夏の在庫一掃 女の子用夏物スカートおよびワンピースが 50% 割引,,-10,0
GirlsPants_Atct_2,하절기 창고 정리,여아용 여름 스커트 & 드레스 하절기 창고 정리 50% 할인,,-9,0
GirlsPants_Atct_2,夏季清倉大拍賣,夏季清倉 女童夏季裙裝和洋裝半價,,-8,0
GirlsPants_Atct_2,夏季大减价,夏季大减价 - 女孩夏季衬衫和礼服 50% 折扣,,-7,0
GirlsPants_Atct_2,Liquidação de Verão,Liquidação de Verão Economize 50% em sais e vestidos de verão para meninas,,-6,0
GirlsPants_Atct_2,Liquidación de verano,"Liquidación de verano, ahorre un 50% en faldas y vestidos de chica ",,-5,0
GirlsPants_Atct_2,Svendita abiti estivi,Svendita abiti estivi. Risparmio del 50% su gonne e abiti estivi per ragazze,,-4,0
GirlsPants_Atct_2,Sommerschlussverkauf,Sommerschlussverkauf - Sparen Sie 50% bei Sommerröcken und -kleidern für Mädchen,,-3,0
GirlsPants_Atct_2,Soldes d'été,"Soldes d'été, économisez 50 % sur les jupes et robes pour fille",,-2,0
GirlsPants_Atct_2,Summer Clearance,Summer Clearance Save 50% on girls' summer skirts and dresses,,-1,0
GirlsShoes_Atct_1,Wyprzedaż obuwia,"Wyprzedaż obuwia dziewczęcego - kup dwie pary, a trzecią dostaniesz za darmo",,-22,0
GirlsShoes_Atct_1,Reduceri pantofi,"Reduceri' pantofi fete Cumperi 2, o primeşti pe a 3-a pe gratis",,-21,0
GirlsShoes_Atct_1,Распродажа обуви,Распродажа туфель для девочек: при покупке двух пар получаете третью в подарок,,-20,0
GirlsShoes_Atct_1,靴の特売,女の子用靴の特売 2 足購入すれば、3 足目が無料,,-10,0
GirlsShoes_Atct_1,신발 판매,여아용 신발 두 켤레 구매 시 한 켤레 무료,,-9,0
GirlsShoes_Atct_1,鞋子特賣,女童鞋特賣 買兩雙再送一雙,,-8,0
GirlsShoes_Atct_1,鞋子促销,女鞋促销 - 购买 2 双，第 3 双免费,,-7,0
GirlsShoes_Atct_1,Venda de Sapatos,"Venda de Sapatos para Meninas Compre 2 pares, ganhe o terceiro grátis",,-6,0
GirlsShoes_Atct_1,Venta de calzado,Venta de calzado para niña: compre 2 pares y llévese el tercero gratis,,-5,0
GirlsShoes_Atct_1,Offerta scarpe,"Offerta scarpe per ragazze. Acquistando 2 paia di scarpe, il terzo è in omaggio",,-4,0
GirlsShoes_Atct_1,Schuhe - Angebote,"Angebote für Mädchenschuhe - 3 Paar kaufen, 2 Paar bezahlen",,-3,0
GirlsShoes_Atct_1,Soldes sur les chaussures,"Soldes sur les chaussures pour fille, pour 2 paires achetées, la troisième gratuite",,-2,0
GirlsShoes_Atct_1,Shoe Sale,"Girls' Shoe Sale Buy 2, get the 3rd for free",,-1,0
GirlsShoes_Atct_2,Wyprzedaż obuwia ,"Wyprzedaż obuwia dziewczęcego - kup dwie pary, a trzecią dostaniesz za darmo",,-22,0
GirlsShoes_Atct_2,Reduceri pantofi ,"Reduceri' pantofi fete Cumperi 2, o primeşti pe a 3-a pe gratis",,-21,0
GirlsShoes_Atct_2,Распродажа обуви ,Распродажа туфель для девочек: при покупке двух пар получаете третью в подарок,,-20,0
GirlsShoes_Atct_2,靴の特売,女の子用靴の特売 2 足購入すれば、3 足目が無料,,-10,0
GirlsShoes_Atct_2,신발 판매,여아용 신발 두 켤레 구매 시 한 켤레 무료,,-9,0
